iter	Passed	Remaining
804	15722	3808
805	15763	3794
806	15795	3777
807	15825	3760
808	15867	3746
809	15900	3729
810	15943	3715
811	15983	3700
812	16013	3683
813	16042	3665
814	16069	3647
815	16097	3629
816	16123	3611
817	16149	3593
818	16174	3574
819	16199	3555
820	16224	3537
821	16249	3518
822	16272	3499
823	16296	3480
824	16321	3462
825	16347	3443
826	16370	3424
827	16394	3405
828	16417	3386
829	16440	3367
830	16464	3348
831	16489	3329
832	16513	3310
833	16537	3291
834	16561	3272
835	16583	3253
836	16607	3234
837	16630	3214
838	16652	3195
839	16675	3176
840	16698	3156
841	16719	3137
842	16740	3117
843	16763	3098
844	16785	3079
845	16808	3059
846	16831	3040
847	16854	3021
848	16878	3002
849	16901	2982
850	16926	2963
851	16948	2944
852	16971	2924
853	16995	2905
854	17018	2886
855	17041	2866
856	17063	2847
857	17086	2827
858	17108	2808
859	17130	2788
860	17151	2768
861	17173	2749
862	17196	2729
863	17219	2710
864	17241	2690
865	17265	2671
866	17288	2652
867	17311	2632
868	17335	2613
869	17357	2593
870	17381	2574
871	17404	2554
872	17427	2535
873	17450	2515
874	17474	2496
875	17497	2476
876	17519	2457
877	17542	2437
878	17565	2417
879	17586	2398
880	17611	2378
881	17634	2359
882	17656	2339
883	17679	2319
884	17702	2300
885	17725	2280
886	17747	2260
887	17769	2241
888	17792	2221
889	17816	2202
890	17839	2182
891	17860	2162
892	17882	2142
893	17904	2122
894	17926	2103
895	17948	2083
896	17971	2063
897	17994	2043
898	18015	2024
899	18037	2004
900	18061	1984
901	18084	1964
902	18108	1945
903	18131	1925
904	18152	1905
905	18175	1885
906	18197	1865
907	18220	1846
908	18243	1826
909	18265	1806
910	18288	1786
911	18311	1766
912	18334	1747
913	18358	1727
914	18379	1707
915	18402	1687
916	18424	1667
917	18446	1647
918	18470	1627
919	18491	1607
920	18514	1588
921	18537	1568
922	18559	1548
923	18583	1528
924	18606	1508
925	18628	1488
926	18650	1468
927	18673	1448
928	18695	1428
929	18718	1408
930	18741	1389
931	18762	1368
932	18783	1348
933	18805	1328
934	18830	1309
935	18851	1289
936	18874	1269
937	18896	1249
938	18919	1229
939	18944	1209
940	18967	1189
941	18992	1169
942	19014	1149
943	19037	1129
944	19060	1109
945	19083	1089
946	19106	1069
947	19129	1049
948	19153	1029
949	19177	1009
950	19199	989
951	19223	969
952	19245	949
953	19268	929
954	19291	909
955	19313	888
956	19337	868
957	19360	848
958	19384	828
959	19406	808
960	19431	788
961	19453	768
962	19474	748
963	19497	728
964	19520	708
965	19543	687
966	19565	667
967	19587	647
968	19610	627
969	19633	607
970	19657	587
971	19678	566
972	19700	546
973	19723	526
974	19745	506
975	19767	486
976	19789	465
977	19812	445
978	19835	425
979	19858	405
980	19881	385
981	19903	364
982	19924	344
983	19947	324
984	19969	304
985	19991	283
986	20014	263
987	20036	243
988	20059	223
989	20080	202
990	20102	182
991	20126	162
992	20149	142
993	20172	121
994	20195	101
995	20216	81
996	20238	60
997	20261	40
998	20284	20
999	20307	0
